Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Alabama,1,45-49 years,45-49,19,308951,Unreliable
,Alabama,1,50-54 years,50-54,28,307665,9.1
,Alabama,1,55-59 years,55-59,54,336320,16.1
,Alabama,1,60-64 years ,60-64,78,321347,24.3
,Alabama,1,65-69 years,65-69,96,275448,34.9
,Alabama,1,70-74 years,70-74,105,225999,46.5
,Alabama,1,75-79 years,75-79,121,155814,77.7
,Alabama,1,80-84 years,80-84,123,101033,121.7
,Alabama,1,85-89 years,85-89,143,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,103,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,32,Not Applicable,Not Applicable
,Arizona,4,40-44 years,40-44,10,429046,Unreliable
,Arizona,4,45-49 years,45-49,22,433343,5.1
,Arizona,4,50-54 years,50-54,22,418747,5.3
,Arizona,4,55-59 years,55-59,41,446731,9.2
,Arizona,4,60-64 years ,60-64,56,434063,12.9
,Arizona,4,65-69 years,65-69,71,398499,17.8
,Arizona,4,70-74 years,70-74,115,353200,32.6
,Arizona,4,75-79 years,75-79,107,252667,42.3
,Arizona,4,80-84 years,80-84,134,158530,84.5
,Arizona,4,85-89 years,85-89,106,Not Applicable,Not Applicable
,Arizona,4,90-94 years,90-94,107,Not Applicable,Not Applicable
,Arizona,4,95-99 years,95-99,47,Not Applicable,Not Applicable
,Arizona,4,100+ years,100+,10,Not Applicable,Not Applicable
,Arkansas,5,50-54 years,50-54,14,179318,Unreliable
,Arkansas,5,55-59 years,55-59,18,198021,Unreliable
,Arkansas,5,60-64 years ,60-64,38,187973,20.2
,Arkansas,5,65-69 years,65-69,50,164960,30.3
,Arkansas,5,70-74 years,70-74,58,137869,42.1
,Arkansas,5,75-79 years,75-79,74,98087,75.4
,Arkansas,5,80-84 years,80-84,80,63054,126.9
,Arkansas,5,85-89 years,85-89,70,Not Applicable,Not Applicable
,Arkansas,5,90-94 years,90-94,55,Not Applicable,Not Applicable
,Arkansas,5,95-99 years,95-99,30,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,12,Not Applicable,Not Applicable
,California,6,< 1 year,1,13,462589,Unreliable
,California,6,20-24 years,20-24,10,2647279,Unreliable
,California,6,30-34 years,30-34,14,2957974,Unreliable
,California,6,35-39 years,35-39,30,2780574,1.1
,California,6,40-44 years,40-44,28,2501526,1.1
,California,6,45-49 years,45-49,57,2515419,2.3
,California,6,50-54 years,50-54,87,2464326,3.5
,California,6,55-59 years,55-59,157,2508777,6.3
,California,6,60-64 years ,60-64,298,2277858,13.1
,California,6,65-69 years,65-69,379,1889872,20.1
,California,6,70-74 years,70-74,462,1496798,30.9
,California,6,75-79 years,75-79,591,1017681,58.1
,California,6,80-84 years,80-84,727,683918,106.3
,California,6,85-89 years,85-89,862,Not Applicable,Not Applicable
,California,6,90-94 years,90-94,806,Not Applicable,Not Applicable
,California,6,95-99 years,95-99,444,Not Applicable,Not Applicable
,California,6,100+ years,100+,119,Not Applicable,Not Applicable
,Colorado,8,50-54 years,50-54,12,340915,Unreliable
,Colorado,8,55-59 years,55-59,24,364977,6.6
,Colorado,8,60-64 years ,60-64,17,348036,Unreliable
,Colorado,8,65-69 years,65-69,26,296296,8.8
,Colorado,8,70-74 years,70-74,25,225835,11.1
,Colorado,8,75-79 years,75-79,34,141798,24
,Colorado,8,80-84 years,80-84,56,88562,63.2
,Colorado,8,85-89 years,85-89,49,Not Applicable,Not Applicable
,Colorado,8,90-94 years,90-94,49,Not Applicable,Not Applicable
,Colorado,8,95-99 years,95-99,29,Not Applicable,Not Applicable
,Connecticut,9,55-59 years,55-59,11,267967,Unreliable
,Connecticut,9,60-64 years ,60-64,22,245488,9
,Connecticut,9,65-69 years,65-69,23,195083,11.8
,Connecticut,9,70-74 years,70-74,32,157736,20.3
,Connecticut,9,75-79 years,75-79,52,112284,46.3
,Connecticut,9,80-84 years,80-84,53,73811,71.8
,Connecticut,9,85-89 years,85-89,78,Not Applicable,Not Applicable
,Connecticut,9,90-94 years,90-94,116,Not Applicable,Not Applicable
,Connecticut,9,95-99 years,95-99,64,Not Applicable,Not Applicable
,Connecticut,9,100+ years,100+,13,Not Applicable,Not Applicable
,Delaware,10,75-79 years,75-79,20,34652,57.7
,Delaware,10,80-84 years,80-84,16,21142,Unreliable
,Delaware,10,85-89 years,85-89,16,Not Applicable,Not Applicable
,Delaware,10,90-94 years,90-94,20,Not Applicable,Not Applicable
,District of Columbia,11,90-94 years,90-94,10,Not Applicable,Not Applicable
,Florida,12,< 1 year,1,10,221463,Unreliable
,Florida,12,30-34 years,30-34,10,1379606,Unreliable
,Florida,12,35-39 years,35-39,24,1336741,1.8
,Florida,12,40-44 years,40-44,21,1263790,1.7
,Florida,12,45-49 years,45-49,35,1340417,2.6
,Florida,12,50-54 years,50-54,53,1368978,3.9
,Florida,12,55-59 years,55-59,92,1489510,6.2
,Florida,12,60-64 years ,60-64,132,1408845,9.4
,Florida,12,65-69 years,65-69,174,1295884,13.4
,Florida,12,70-74 years,70-74,258,1169485,22.1
,Florida,12,75-79 years,75-79,278,870367,31.9
,Florida,12,80-84 years,80-84,361,580147,62.2
,Florida,12,85-89 years,85-89,414,Not Applicable,Not Applicable
,Florida,12,90-94 years,90-94,328,Not Applicable,Not Applicable
,Florida,12,95-99 years,95-99,160,Not Applicable,Not Applicable
,Florida,12,100+ years,100+,62,Not Applicable,Not Applicable
,Georgia,13,35-39 years,35-39,12,709018,Unreliable
,Georgia,13,45-49 years,45-49,33,712696,4.6
,Georgia,13,50-54 years,50-54,28,686956,4.1
,Georgia,13,55-59 years,55-59,65,691407,9.4
,Georgia,13,60-64 years ,60-64,96,616126,15.6
,Georgia,13,65-69 years,65-69,115,511367,22.5
,Georgia,13,70-74 years,70-74,107,414634,25.8
,Georgia,13,75-79 years,75-79,143,273561,52.3
,Georgia,13,80-84 years,80-84,184,166323,110.6
,Georgia,13,85-89 years,85-89,160,Not Applicable,Not Applicable
,Georgia,13,90-94 years,90-94,129,Not Applicable,Not Applicable
,Georgia,13,95-99 years,95-99,71,Not Applicable,Not Applicable
,Hawaii,15,60-64 years ,60-64,13,89179,Unreliable
,Hawaii,15,65-69 years,65-69,11,83038,Unreliable
,Hawaii,15,70-74 years,70-74,25,69054,36.2
,Hawaii,15,75-79 years,75-79,28,45499,61.5
,Hawaii,15,80-84 years,80-84,36,29189,123.3
,Hawaii,15,85-89 years,85-89,68,Not Applicable,Not Applicable
,Hawaii,15,90-94 years,90-94,79,Not Applicable,Not Applicable
,Hawaii,15,95-99 years,95-99,36,Not Applicable,Not Applicable
,Hawaii,15,100+ years,100+,12,Not Applicable,Not Applicable
,Idaho,16,60-64 years ,60-64,15,108819,Unreliable
,Idaho,16,70-74 years,70-74,18,77982,Unreliable
,Idaho,16,75-79 years,75-79,18,52941,Unreliable
,Idaho,16,80-84 years,80-84,33,32089,102.8
,Idaho,16,85-89 years,85-89,32,Not Applicable,Not Applicable
