Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths
,Alabama,1,45-49 years,45-49,19
,Alabama,1,50-54 years,50-54,28
,Alabama,1,55-59 years,55-59,54
,Alabama,1,60-64 years ,60-64,78
,Alabama,1,65-69 years,65-69,96
,Alabama,1,70-74 years,70-74,105
,Alabama,1,75-79 years,75-79,121
,Alabama,1,80-84 years,80-84,123
,Alabama,1,85-89 years,85-89,143
,Alabama,1,90-94 years,90-94,103
,Alabama,1,95-99 years,95-99,32
,Arizona,4,40-44 years,40-44,10
,Arizona,4,45-49 years,45-49,22
,Arizona,4,50-54 years,50-54,22
,Arizona,4,55-59 years,55-59,41
,Arizona,4,60-64 years ,60-64,56
,Arizona,4,65-69 years,65-69,71
,Arizona,4,70-74 years,70-74,115
,Arizona,4,75-79 years,75-79,107
,Arizona,4,80-84 years,80-84,134
,Arizona,4,85-89 years,85-89,106
,Arizona,4,90-94 years,90-94,107
,Arizona,4,95-99 years,95-99,47
,Arizona,4,100+ years,100+,10
,Arkansas,5,50-54 years,50-54,14
,Arkansas,5,55-59 years,55-59,18
,Arkansas,5,60-64 years ,60-64,38
,Arkansas,5,65-69 years,65-69,50
,Arkansas,5,70-74 years,70-74,58
,Arkansas,5,75-79 years,75-79,74
,Arkansas,5,80-84 years,80-84,80
,Arkansas,5,85-89 years,85-89,70
,Arkansas,5,90-94 years,90-94,55
,Arkansas,5,95-99 years,95-99,30
,Arkansas,5,100+ years,100+,12
,California,6,< 1 year,1,13
,California,6,20-24 years,20-24,10
,California,6,30-34 years,30-34,14
,California,6,35-39 years,35-39,30
,California,6,40-44 years,40-44,28
,California,6,45-49 years,45-49,57
,California,6,50-54 years,50-54,87
,California,6,55-59 years,55-59,157
,California,6,60-64 years ,60-64,298
,California,6,65-69 years,65-69,379
,California,6,70-74 years,70-74,462
,California,6,75-79 years,75-79,591
,California,6,80-84 years,80-84,727
,California,6,85-89 years,85-89,862
,California,6,90-94 years,90-94,806
,California,6,95-99 years,95-99,444
,California,6,100+ years,100+,119
,Colorado,8,50-54 years,50-54,12
,Colorado,8,55-59 years,55-59,24
,Colorado,8,60-64 years ,60-64,17
,Colorado,8,65-69 years,65-69,26
,Colorado,8,70-74 years,70-74,25
,Colorado,8,75-79 years,75-79,34
,Colorado,8,80-84 years,80-84,56
,Colorado,8,85-89 years,85-89,49
,Colorado,8,90-94 years,90-94,49
,Colorado,8,95-99 years,95-99,29
,Connecticut,9,55-59 years,55-59,11
,Connecticut,9,60-64 years ,60-64,22
,Connecticut,9,65-69 years,65-69,23
,Connecticut,9,70-74 years,70-74,32
,Connecticut,9,75-79 years,75-79,52
,Connecticut,9,80-84 years,80-84,53
,Connecticut,9,85-89 years,85-89,78
,Connecticut,9,90-94 years,90-94,116
,Connecticut,9,95-99 years,95-99,64
,Connecticut,9,100+ years,100+,13
,Delaware,10,75-79 years,75-79,20
,Delaware,10,80-84 years,80-84,16
,Delaware,10,85-89 years,85-89,16
,Delaware,10,90-94 years,90-94,20
,District of Columbia,11,90-94 years,90-94,10
,Florida,12,< 1 year,1,10
,Florida,12,30-34 years,30-34,10
,Florida,12,35-39 years,35-39,24
,Florida,12,40-44 years,40-44,21
,Florida,12,45-49 years,45-49,35
,Florida,12,50-54 years,50-54,53
,Florida,12,55-59 years,55-59,92
,Florida,12,60-64 years ,60-64,132
,Florida,12,65-69 years,65-69,174
,Florida,12,70-74 years,70-74,258
,Florida,12,75-79 years,75-79,278
,Florida,12,80-84 years,80-84,361
,Florida,12,85-89 years,85-89,414
,Florida,12,90-94 years,90-94,328
,Florida,12,95-99 years,95-99,160
,Florida,12,100+ years,100+,62
,Georgia,13,35-39 years,35-39,12
,Georgia,13,45-49 years,45-49,33
,Georgia,13,50-54 years,50-54,28
,Georgia,13,55-59 years,55-59,65
,Georgia,13,60-64 years ,60-64,96
,Georgia,13,65-69 years,65-69,115
,Georgia,13,70-74 years,70-74,107
,Georgia,13,75-79 years,75-79,143
,Georgia,13,80-84 years,80-84,184
,Georgia,13,85-89 years,85-89,160
,Georgia,13,90-94 years,90-94,129
,Georgia,13,95-99 years,95-99,71
,Hawaii,15,60-64 years ,60-64,13
,Hawaii,15,65-69 years,65-69,11
,Hawaii,15,70-74 years,70-74,25
